"Power_WDM","EDFA1","EDFA2","EDFA3","Total_Gain","Total_Power","Min_BER","Max_Q_Factor"
8,30,25,30,-28.26077234,-39.61250666,1,0
8,30,27,27,-30.08193061,-42.95089268,0.000151617,3.541381898
8,30,30,25,-31.82216923,-46.54434517,0.000273468,3.385647451
8,30,30,30,-28.04876106,-39.58126052,1,0
8,30,31,31,-27.37390949,-37.98367397,0.00816587,2.399906678
8,30,35,35,-27.05316384,-35.27616548,0.000941785,3.042718824
8,31,30,31,-27.43233211,-38.23645619,0.003108544,2.719449912
8,31,31,30,-28.37827978,-39.40748507,0.00580312,2.484073621
8,31,31,31,-27.90134046,-38.23908181,0.004027676,2.61137717
8,32,20,32,-28.382169,-38.6375602,1,0
8,32,32,32,-28.09599359,-36.78816929,0.009302909,2.278261447
8,32,32,35,-26.43050905,-34.54538879,0.004522201,2.542859067
8,33,20,33,-26.7081884,-37.26616319,1,0
8,33,33,20,-36.27191187,-55.36335083,0.004450998,2.597270538
8,33,33,33,-27.791621,-36.50168683,0.01769008,2.015147143
8,34,25,34,-26.33709779,-36.69049178,0.00322307,2.655871571
8,34,34,25,-33.36356306,-48.71528773,0.001331822,2.90732065
8,34,34,34,-27.09404371,-36.52375092,0.00050352,3.2833367
8,35,24,24,-33.56178573,-50.55339393,1,0
8,35,28,28,-30.86316951,-43.9762742,1,0
8,35,30,35,-26.27142398,-35.87669572,0.000150549,3.611026576
8,35,32,32,-27.46268757,-39.48326808,0.000324,3.370504624
8,35,35,30,-30.44537942,-41.60418243,1,0
8,35,35,35,-26.51653053,-36.13993944,0.000514706,3.268085396
10,20,20,20,-34.34189504,-49.37476045,2.14167E-06,4.806700061
10,20,21,21,-33.41027339,-47.49762121,0.015736236,4.571977003
10,20,25,25,-30.60100077,-41.2993429,4.29361E-05,5.373526187
10,20,29,29,-29.79854803,-38.3994689,0.002232754,2.719231279
10,20,33,33,-28.32808176,-36.99044707,0.003278584,2.713833918
10,21,20,21,-33.46307575,-47.63691524,0.040223368,4.60152888
10,21,21,20,-34.37858724,-49.42467233,0.177572149,4.654001954
10,21,21,21,-33.47148512,-47.5971663,0.001185098,4.476315269
10,22,22,22,-32.71553118,-45.93060293,0.003626616,3.990089209
10,22,22,25,-30.51358449,-41.27483601,0.021951785,4.601224412
10,22,25,22,-32.97171405,-46.18465237,0.221579779,4.683142335
10,23,23,23,-32.10804962,-44.49070744,8.19076E-06,4.319064797
10,23,23,30,-29.10981067,-37.371326,4.53149E-05,3.739001594
10,23,30,23,-34.14630013,-46.94876981,0.000392685,3.204501093
10,24,24,24,-31.68999538,-43.30359547,0.03729601,4.603377637
10,24,24,35,-27.29845599,-34.69130577,1,0
10,24,35,24,-35.05732709,-48.87522517,1,0
10,25,20,25,-30.99221761,-41.84820844,0.004171052,3.963302357
10,25,22,22,-33.16038933,-46.42064318,0.000562282,3.876742964
10,25,25,20,-35.15626528,-50.09938498,0.389626835,4.177023668
10,25,25,25,-31.58692253,-42.41333348,0.0041605,4.496199784
10,25,26,26,-31.26435565,-41.36165277,0.000612886,4.387419647
10,25,30,30,-29.89787231,-39.38460441,0.001401716,2.87304785
10,25,34,34,-28.20768451,-34.95252466,1,0
10,26,25,26,-31.40932216,-41.65207831,0.000550195,3.77875971
10,26,26,25,-32.13618118,-43.11702405,0.292904339,4.092773774
10,26,26,26,-31.55027606,-41.84858771,0.004265631,3.859609848
10,27,27,27,-31.24032489,-41.37849997,0.000425878,3.333440513
10,27,27,30,-29.53279353,-37.85577766,0.000306231,3.426006014
10,27,30,27,-31.72705171,-42.72534966,0.000421635,3.200999812
10,28,28,28,-31.07070627,-40.99655517,0.000868406,3.001467251
10,28,28,35,-27.70482193,-34.42679337,1,0
10,28,35,28,-32.82938333,-43.08546761,0.003187762,2.681253495
10,29,20,29,-30.77669419,-40.57157369,0.000984192,3.02053902
10,29,29,20,-37.48393404,-53.8841772,0.000846049,3.084010708
10,29,29,29,-30.94495152,-40.64202633,0.000487095,3.193691195
10,30,23,23,-34.53148472,-47.77596362,0.00421037,2.503446217
10,30,25,30,-30.32548743,-39.79392616,1,0
10,30,27,27,-32.27194819,-43.2893549,0.000145013,3.811805014
10,30,30,25,-33.97448851,-46.46782859,1,0
10,30,30,30,-29.82471473,-38.88947039,0.003749193,2.669634807
10,30,31,31,-29.93627607,-38.0125164,0.013260443,2.135272349
10,30,35,35,-29.16900478,-34.9507748,1,0
10,31,30,31,-29.8081809,-37.97605625,0.003455062,2.698029351
10,31,31,30,-30.48355372,-39.25406758,1,0
10,31,31,31,-30.21535304,-37.69476492,0.004057077,2.606668425
10,32,20,32,-30.76306282,-39.13424458,1,0
10,32,32,32,-30.02930155,-37.05215553,1,0
10,32,32,35,-28.20885356,-34.82103068,1,0
10,33,20,33,-28.60155872,-37.35517703,0.000119883,3.670257628
10,33,33,20,-38.6313683,-55.60939636,0.001536074,2.959072848
10,33,33,33,-29.15116245,-37.87910272,0.000123306,3.841097421
10,34,25,34,-28.21820206,-36.74353559,0.000632116,3.896846847
10,34,34,25,-35.2392536,-49.17363291,0.000277726,3.450034827
10,34,34,34,-28.58051603,-35.66082493,1,0
10,35,24,24,-36.19599158,-51.04109913,1,0
10,35,28,28,-32.80580811,-44.75072961,0.004917567,2.468117327
10,35,30,35,-27.82863047,-35.20762873,1,0
10,35,32,32,-29.82105874,-39.37848104,4.57901E-05,3.792204242
10,35,35,30,-31.50326699,-41.89987616,4.07321E-05,3.584935483
10,35,35,35,-28.68165662,-35.23620075,1,0
12,20,20,20,-36.68876641,-49.5881323,0.018887512,4.008021064
12,20,21,21,-35.83948051,-47.80979044,7.06167E-05,3.777701297
12,20,25,25,-33.59467548,-42.27390275,0.027513314,4.553586763
12,20,29,29,-31.88024311,-39.17276119,0.00093005,3.005135436
12,20,33,33,-30.46610602,-36.50648125,0.002268869,2.79062084
12,21,20,21,-35.88774499,-47.8577512,0.000114331,3.643246913
12,21,21,20,-36.79991653,-49.66803728,0.000125528,3.617733903
12,21,21,21,-35.93395292,-47.89356481,2.11364E-05,3.7131087
12,22,22,22,-35.33028613,-46.40124475,0.000236772,3.819834229
12,22,22,25,-33.41150036,-42.1286685,0.001222046,3.898822217
12,22,25,22,-35.82835725,-46.9173948,2.44441E-06,4.228247304
12,23,23,23,-34.88863805,-45.19110417,0.001572912,3.89695621
12,23,23,30,-31.54342403,-38.23118918,0.000196314,3.544062258
12,23,30,23,-36.57132105,-48.32133864,2.66913E-05,3.766126665
12,24,24,24,-34.61221228,-44.21479013,0.000165455,3.786853776
12,24,24,35,-29.19349432,-35.02318267,0.003816701,2.617196356
12,24,35,24,-37.48687417,-48.71480012,0.002806709,2.766212689
12,25,20,25,-33.89529364,-42.79959002,0.000384421,3.272207912
12,25,22,22,-35.93159573,-47.07832185,0.000497455,3.184789423
12,25,25,20,-38.03197776,-50.96694053,0.000167503,3.50463856
12,25,25,25,-34.41457386,-43.51605177,0.000524867,3.11358081
12,25,26,26,-33.8787896,-42.51547589,1,0
12,25,30,30,-31.91876448,-39.32813735,1,0
12,25,34,34,-31.02169881,-35.35471075,0.001256,2.988265834
12,26,25,26,-33.98188881,-42.73450518,1,0
12,26,26,25,-34.75869362,-44.27977589,1,0
12,26,26,26,-34.08174192,-42.97770426,1,0
12,27,27,27,-33.83732292,-42.40173461,0.000231602,3.387364268
12,27,27,30,-31.96878121,-38.86070661,0.00175789,2.791402975
12,27,30,27,-34.07971657,-43.00189673,0.001352873,2.90597085
12,28,28,28,-33.37535142,-41.69523513,0.001268766,3.915255502
12,28,28,35,-30.06675284,-34.20086364,0.000377477,3.354454414
12,28,35,28,-34.93431498,-42.96757155,1,0
12,29,20,29,-32.73045826,-40.77168465,0.005604403,2.455164042
12,29,29,20,-39.69008659,-54.21172928,1,0
12,29,29,29,-32.53660089,-40.06532481,0.01216397,2.159456348
12,30,23,23,-36.89859783,-48.36577377,0.00915928,2.262871242
12,30,25,30,-32.16933522,-40.18328802,1,0
12,30,27,27,-34.11165028,-43.34344194,1,0
12,30,30,25,-36.03432757,-46.30589317,1,0
12,30,30,30,-32.26606781,-38.56810447,0.00405902,2.638859737
12,30,31,31,-32.37473831,-37.22719663,0.006294585,2.439939593
12,30,35,35,-30.662659,-35.50250928,1,0
12,31,30,31,-31.91166773,-37.65399557,1,0
12,31,31,30,-32.56909341,-39.33726109,1,0
12,31,31,31,-32.21830457,-37.41387871,0.017735748,1.979466647
12,32,20,32,-31.86568042,-39.337831,1,0
12,32,32,35,-30.54795685,-35.16591167,1,0
12,32,32,32,-31.48413314,-38.57246177,1,0
12,33,20,33,-30.74656371,-37.40695736,1,0
12,33,33,20,-40.8404481,-56.52774778,0.003063363,2.684319716
12,33,33,33,-30.93822714,-36.61627009,1,0
12,34,25,34,-30.00304683,-36.63315147,1,0
12,34,34,25,-37.38676278,-49.45734584,0.001410333,2.752600245
12,34,34,34,-30.62750372,-36.23515401,0.001554933,2.901739985
12,35,24,24,-38.5779397,-51.52833262,0.175294614,4.167784057
12,35,28,28,-34.67684743,-44.40666388,0.038269545,3.935928939
12,35,30,35,-30.05286403,-35.76203483,1,0
12,35,32,32,-32.08045254,-39.79379491,1,0
12,35,35,30,-33.6641894,-42.34614897,0.000202323,3.275483389
12,35,35,35,-30.10327506,-36.48123071,0.000503811,3.067008236
